year,quarter,region,temperature,dew_point,precipitation,wind_speed,humidity,rice_yield_per_hectare
2022,1,2,25.35,19.89,4.32,3.3,83,0.9046866029
2022,2,2,22,19.21,18.29,2.67,91,0.05622488038
2022,3,2,26.64,21.52,17.79,3.61,84,1.107188995
2022,4,2,21.21,20.03,5.3,3.47,75,0.8392894737
2023,1,2,25.97,20.53,5.32,3.77,77.67,0.978722488
2023,2,2,23.27,19.87,14.454,3.21,87,0.2132177033
2023,3,2,26.52,21.32,16.42,3.82,83,1.091141148
2023,4,2,23.21,20.98,5.08,3.56,82,0.8832200957
2024,1,2,29.14,22.65,6.73,5.98,67.33,1.078435407
2024,2,2,23.27,19.87,14.454,3.21,87,0.2132177033
2024,3,2,25.21,20.97,10.21,4.11,79,0.8293851675
2024,4,2,24.67,21.21,5.19,3.51,80,0.9162679426
2025,1,2,22.53,18.44,3.88,2.86,80.33,0.94565311
2025,2,2,23.3,19.67,13.88,3.18,88,0.2084401914
2025,3,2,26.22,21.24,16.98,3.73,82,0.9747511962
2025,4,2,23.54,21.53,5.11,3.52,81,0.8953588517
2015,1,3,23.96,20.54,0.42,8.71,88,0.8489714286
2015,2,3,23.52,19.31,2.63,10.1,83,1.243092857
2015,3,3,26.42,22.87,4.99,8.1,84,0.28335
2015,4,3,24.57,21.7,3.22,10,85,1.850892857
2016,1,3,22.64,19.75,1.89,11.18,86,0.8185114286
2016,2,3,27.29,23.42,0.93,7.9,90,1.290231429
2016,3,3,26.29,22.48,3.01,12.87,87,0.2447628571
2016,4,3,24.6,21.33,2.62,13.3,82,1.383755714
2017,1,3,23.31,20.17,2.97,12.41,88,0.8983985714
2017,2,3,26.97,22.58,5.7,6.23,84,1.350227143
2017,3,3,26.32,23.48,3.25,14.52,86,0.3018657143
2017,4,3,24.87,21.27,1.16,10.6,87,2.050375714
2018,1,3,23.46,20.39,0.67,14.29,86,0.9562514286
2018,2,3,26.84,22.65,4.59,7.13,81,1.459525714
2018,3,3,26.03,22.19,3.99,11.9,87,0.4064214286
2018,4,3,24.43,21.29,4.14,14.03,89,2.04847
2019,1,3,22.43,19.39,0.89,10.45,86,1.01676
2019,2,3,26.85,22.39,1.83,7.32,85,1.632038571
2019,3,3,26.81,22.26,3.28,10.74,88,0.29107
2019,4,3,24.67,21.03,2.08,12.87,83,2.438917143
2020,1,3,21.54,18.07,2.77,10.46,88,1.04446
2020,2,3,26.45,21.29,3.55,6.13,79,1.640964286
2020,3,3,26.52,22.03,4.46,9.42,80,0.2207342857
2020,4,3,24.9,20.53,0.56,12.43,84,1.814284286
2021,1,3,22.69,19,0.96,11.59,83,0.9160214286
2021,2,3,26.65,21.81,4.16,6.1,80,1.660781429
2021,3,3,26.71,22.39,2.3,11.77,82,0.29516
2021,4,3,24.53,20.53,1.57,12.67,80,1.903584286
2022,1,3,21.79,18.71,3.89,12.68,85,0.9631742857
2022,2,3,26.45,21.84,4.6,6,87,1.59922
2022,3,3,26.94,22.39,6.04,6.9,81,0.4109942857
2022,4,3,24.8,21.53,2.59,12.37,93,2.219192857
2023,1,3,23.75,19.61,0.47,9.93,85,0.9707957143
2023,2,3,26.77,21.87,1.26,6.65,82,1.612724286
2023,3,3,25.87,22.16,4.57,11.97,84,0.3926328571
2023,4,3,24.8,20.8,0.37,11.6,84,2.188297143
2024,1,3,25.04,19.11,0.35,9.11,82,1.042675714
2024,2,3,29.94,23.29,3.3,5.42,76,1.611961429
2024,3,3,28.35,23.26,7.85,10.48,76,0.4953057143
2024,4,3,26.4,22.17,6.24,6.9,85,2.178885714
2025,1,3,23.52,19.31,2.63,10.1,83,0.9476542857
2025,2,3,29.06,23.68,6.79,5.45,80,1.575315714
2025,3,3,28.55,23.06,8.04,6.52,91,0.5030028571
2025,4,3,26.13,22.13,18.23,10.13,89,2.167095714
2015,1,4,27.46,21.21,0.29,7.75,83,0.25971
2015,2,4,29.48,24.48,2.29,5.52,82,0.294753333333333
2015,3,4,27.06,24.03,4.21,4.97,87,0.13309
2015,4,4,25.97,23.4,2.8,7,95,0.613076666666667
2016,1,4,24.86,20.89,1.27,8.86,80,0.307626666666667
2016,2,4,27.87,24.03,5.19,6.48,83,0.387363333333333
2016,3,4,27.1,23.45,3.82,9.84,92,0.18649
2016,4,4,26.2,23.4,4.67,9.83,84,0.449163333333333
2017,1,4,25.31,22,3,10.9,92,0.338476666666667
2017,2,4,28.68,24.55,7.35,5,81,0.39818
2017,3,4,26.94,23.26,2.79,10.06,85,0.15401
2017,4,4,26.63,22.73,0.58,10.23,83,0.406906666666667
2018,1,4,25.36,21.61,0.91,13.18,86,0.328763333333333
2018,2,4,29.1,24.23,3.64,6.13,73,0.398206666666667
2018,3,4,27.03,23.58,3.67,7.71,87,0.148696666666667
2018,4,4,25.97,22.87,2.85,10.9,84,0.49695
2019,1,4,24.71,20.57,0.68,9.46,94,0.276346666666667
2019,2,4,29.35,24.13,3.57,6.45,82,0.37185
2019,3,4,27.48,23.61,2.64,7.61,83,0.127453333333333
2019,4,4,26.23,22.47,1.19,10.97,86,0.57629
2020,1,4,24.39,19.25,0.45,10.64,74,0.289583333333333
2020,2,4,29.06,22.71,5.47,5.81,68,0.4222
2020,3,4,27.74,23.55,7.27,6.48,80,0.123913333333333
2020,4,4,26.7,21.67,0.42,11.77,85,0.473993333333333
2021,1,4,24.83,20.41,0.92,11.45,79,0.29991
2021,2,4,28.84,23.68,13.04,6.26,79,0.42744
2021,3,4,26.9,23.42,5.18,9.45,86,0.172623333333333
2021,4,4,25.73,22.03,1.64,10.83,82,0.457106666666667
2022,1,4,24.25,19.82,0.93,11.96,82,0.279966666666667
2022,2,4,28.65,23.84,7.65,6.35,85,0.418556666666667
2022,3,4,27.39,23.81,9.09,6.06,81,0.18184
2022,4,4,25.83,23.07,4.62,10.9,95,0.48908
2023,1,4,25.32,20.96,1.2,9.57,87,0.324586666666667
2023,2,4,29.03,23.13,3.5,8.06,79,0.449326666666667
2023,3,4,26.48,22.84,6.06,9.35,91,0.11553
2023,4,4,26.17,22.07,1.79,10.87,90,0.511333333333333
2024,1,4,25.36,19.46,0.78,14.07,78,0.279806666666667
2024,2,4,29.71,24.29,16.88,5.45,70,0.41619
2024,3,4,26.97,23.32,16.26,9.35,84,0.106123333333333
2024,4,4,26.43,22.4,6.19,7.3,83,0.467153333333333
2025,1,4,24.31,19.52,2.12,13.38,82,0.272033333333333
2025,2,4,30.35,23.65,7.27,5.77,73,0.450826666666667
2025,3,4,27.77,23.87,12.11,5.42,97,0.134726666666667
2025,4,4,25.8,22.53,27.32,11.23,93,0.432146666666667
2015,1,5,27.57,20.57,0.02,10.25,80,0.95224
2015,2,5,29.29,24.23,1.24,6.26,79,0.577795
2015,3,5,27.45,23.42,1.56,7.52,82,0.29292
2015,4,5,26.4,23.2,2.16,10.1,93,2.464705
2016,1,5,25.04,21,1.03,12.46,82,1.04715
2016,2,5,27.87,23.65,2.18,7.97,81,0.909345
2016,3,5,27.16,23.13,1.39,11.48,88,0.752125
2016,4,5,26.7,22.97,3.31,12.4,85,2.199725
2017,1,5,25.66,21.59,2.16,15.31,88,1.057305
2017,2,5,28.71,23.68,1.42,5.81,71,1.041335
2017,3,5,27.19,22.77,0.64,12.35,85,0.726775
2017,4,5,26.87,22.53,0.47,14.63,81,2.327715
2018,1,5,25.68,21.46,1.78,18.32,83,1.034995
2018,2,5,28.81,23.71,1.25,7.19,77,0.9873
2018,3,5,27.23,23.1,1.78,9.94,81,0.731505
2018,4,5,26.57,22.57,2.56,15.1,82,2.41591
2019,1,5,25,20.32,0.19,13.39,89,1.16258
2019,2,5,29.42,23.32,0.5,8.71,80,0.992895
2019,3,5,27.45,22.97,0.98,8.94,82,0.51891
2019,4,5,26.6,22.5,0.7,14.1,84,2.735005
2020,1,5,25.75,20.43,0.07,20.11,74,1.48949
2020,2,5,30,23.32,0.13,9.42,65,0.723465
2020,3,5,29.06,23.55,0.35,12.32,72,0.417535
2020,4,5,27.9,22.9,0.16,20.9,79,2.778675
2021,1,5,25.9,21.48,0.42,20.79,76,1.148425
2021,2,5,29.87,23.87,0.85,11.61,73,0.684075
2021,3,5,29.03,23.29,0.58,11.1,75,0.50487
2021,4,5,27.3,22.87,1.18,18.9,77,3.06467
2022,1,5,25.64,21.04,0.2,22.14,79,1.445155
2022,2,5,29.94,24.13,0.6,11.65,73,0.894905
2022,3,5,28.39,22.9,0.08,14.81,78,0.713135
2022,4,5,27.6,23.4,0.82,20.3,84,2.745955
2023,1,5,26.25,21.75,0.38,17.07,81,0.881025
2023,2,5,29.74,23.45,0.18,15.03,76,0.881025
2023,3,5,28.1,23.29,17.41,11.52,73,0.626665
2023,4,5,27.65,22.93,1.04,20.17,75,3.077125
2024,1,5,25.64,20.29,0.05,22.32,77,1.55505
2024,2,5,30,23.81,2.73,9.97,65,0.62825
2024,3,5,28.39,22.9,0.08,14.81,78,1.55505
2024,4,5,27.17,22.6,7.45,14.13,77,3.29673
2025,1,5,25.17,20.76,6.2,25.17,80,1.3509
2025,2,5,29.65,24,7.28,11.42,76,1.06522
2025,3,5,28.35,23.13,12.62,9.23,88,0.495955
2025,4,5,27.03,22.87,13.34,20.1,80,2.90343
2015,1,6,26.96,21.57,0.13,7.39,83,0.99338
2015,2,6,29.65,24.16,0.68,6.42,81,0.947236
2015,3,6,27.97,23.97,2.2,6.94,84,0.760608
2015,4,6,27.33,23.8,2.61,6.37,88,1.623088
2016,1,6,25.57,21.64,1.52,9.89,80,1.005448
2016,2,6,28.13,24.13,4.24,7.74,88,1.19582
2016,3,6,27.9,23.94,2.13,10.97,90,0.894376
2016,4,6,27.6,23.67,1.61,8.43,84,1.188024
2017,1,6,26.48,22.24,1.75,11,88,1.143236
2017,2,6,29.55,24.29,1.25,4.84,82,1.21492
2017,3,6,28.13,23.68,1.53,14.13,81,1.031108
2017,4,6,27.53,23.2,0.92,8.83,84,1.303964
2018,1,6,26.21,22,0.65,12.75,86,1.101016
2018,2,6,29.68,24.32,1.51,5.58,74,1.40012
2018,3,6,27.9,23.84,2.07,11.1,80,0.911524
2018,4,6,27.1,23.3,2.04,11.03,82,1.560304
2019,1,6,25.64,20.79,0.44,9.71,89,1.189448
2019,2,6,29.94,24.42,1.44,5.77,78,1.388612
2019,3,6,28.48,23.84,1.46,8.26,81,0.721184
2019,4,6,27.2,23.2,1.07,9.53,83,1.733344
2020,1,6,25.54,20.21,0.57,11.71,74,1.136136
2020,2,6,29.45,22.97,0.53,6.52,80,1.373396
2020,3,6,28.94,23.58,2.79,9.87,78,0.820928
2020,4,6,28.07,22.77,0.47,11.67,82,1.727332
2021,1,6,26.14,21.52,1.48,12.17,74,1.158172
2021,2,6,30.13,23.48,0.49,6.58,76,1.406876
2021,3,6,28.55,23.94,2.79,13.87,85,0.842208
2021,4,6,27.13,22.87,1.75,11.73,81,1.694712
2022,1,6,25.75,20.75,1.05,13.68,85,1.141472
2022,2,6,30.1,23.87,0.88,6.1,75,1.477816
2022,3,6,28.77,23.97,2.05,8.84,80,0.817576
2022,4,6,27.6,23.73,0.86,11.03,87,1.903444
2023,1,6,26.54,22.32,2.7,11.21,81,1.1628
2023,2,6,29.84,23.61,1.29,6.58,80,1.509592
2023,3,6,28.06,23.32,1.01,15.65,82,0.811256
2023,4,6,27.73,22.83,0.59,12.07,81,1.918104
2024,1,6,26.53,19.96,0.15,10.29,76,0.983548
2024,2,6,30.9,23.84,2.45,5.42,71,1.297996
2024,3,6,27.23,24,23.08,13.87,86,0.791728
2024,4,6,27.1,23.17,12.38,8.3,82,1.69834
2025,1,6,26.07,20.45,1.94,11.45,80,1.019428
2025,2,6,30.68,23.61,3.51,6.19,72,1.50726
2025,3,6,28.1,23.9,8.86,6.32,95,0.897188
2025,4,6,27.03,23.13,16.41,10.07,92,1.756092
2015,1,7,27.43,21.21,0.06,17.93,77,1.27901212121212
2015,2,7,29.42,23.94,1.01,8.52,81,0.218427272727273
2015,3,7,28.45,23.81,2.71,12.16,77,1.69155757575758
2015,4,7,28.17,23.87,0.99,13.73,81,2.23431515151515
2016,1,7,26.36,22.36,1.48,21.96,85,1.94772424242424
2016,2,7,28.48,23.77,4.09,12.61,80,0.498715151515152
2016,3,7,27.58,23.68,2.38,18,81,2.72552727272727
2016,4,7,27.9,23.63,0.78,15.63,85,1.63117878787879
2017,1,7,27.14,22.66,1.35,20.62,80,1.78461818181818
2017,2,7,29,23.87,1.65,7.35,75,0.388663636363636
2017,3,7,27.9,23.61,1.44,20.03,80,2.77665151515151
2017,4,7,27.83,27.83,0.21,19.97,80,1.9961303030303
2018,1,7,27,22.71,0.41,26.14,82,1.50920606060606
2018,2,7,29.61,24.03,1.87,7.87,72,0.351448484848485
2018,3,7,27.74,23.45,1.92,16.19,79,2.49185757575758
2018,4,7,27.6,23.53,1.78,19.73,77,1.98321515151515
2019,1,7,26.32,21.5,0.84,23.29,89,1.70017878787879
2019,2,7,29.84,24.23,1.39,9.03,76,0.336484848484848
2019,3,7,27.94,23.45,1.23,12.26,80,1.86563939393939
2019,4,7,27.73,23.5,1.25,18.67,82,2.31761818181818
2020,1,7,27,20.64,0.23,24.96,77,1.65459696969697
2020,2,7,30.77,22.52,2.43,9.81,67,0.276351515151515
2020,3,7,28.58,23.23,9.11,16.13,75,1.72852424242424
2020,4,7,29,22.97,0.14,23.9,76,2.57332727272727
2021,1,7,27.83,21.59,0.29,26.9,79,1.41375454545455
2021,2,7,31.16,23.19,4.99,12.26,61,0.211784848484848
2021,3,7,28.81,23.65,6.94,21.35,77,1.84580303030303
2021,4,7,27.73,23.07,1.78,20.4,76,2.33541515151515
2022,1,7,26.89,21.14,0.05,28.07,79,1.91549393939394
2022,2,7,30.84,23.45,2.63,12.16,67,0.338930303030303
2022,3,7,28.94,23.58,5.84,11.23,79,2.39140303030303
2022,4,7,27.97,23.93,1.33,18.67,84,2.11428484848485
2023,1,7,27.54,22.25,0.55,21,78,1.82673636363636
2023,2,7,31,23,1.01,12,71,0.404569696969697
2023,3,7,28.16,23.26,5.79,18.81,76,2.36969393939394
2023,4,7,28.13,23.13,1.64,21.37,74,2.16340303030303
2024,1,7,27.54,20.36,0.09,25.11,71,1.78186060606061
2024,2,7,31.97,23.48,3.36,8.94,63,0.254966666666667
2024,3,7,27.55,23.87,8.53,20.35,82,1.66643636363636
2024,4,7,27.7,23.63,7.43,14.93,83,2.59307272727273
2025,1,7,27.07,21.48,0.66,28.41,79,1.91707878787879
2025,2,7,30.55,24.03,7.2,9.84,66,0.367260606060606
2025,3,7,28.13,23.87,9.81,10.9,88,2.25674848484848
2025,4,7,27.67,23.63,4.31,18.43,79,2.40006363636364
2015,1,8,26.71,22.64,0.23,12.64,77,2.09975
2015,2,8,29,24.39,0.43,11.23,78,0.853625
2015,3,8,28.55,23.65,1.74,8.68,79,0.40365
2015,4,8,27.63,23.8,3.44,9.1,82,3.4042
2016,1,8,26.11,22.54,2.98,13.25,90,2.13125
2016,2,8,27.84,23.61,23.61,1.84,82,1.25805
2016,3,8,27.97,23.19,1.17,12.97,76,0.59455
2016,4,8,27.67,23.53,2.2,10.9,86,4.0877
2017,1,8,26.62,22.55,2.28,15.55,80,2.270125
2017,2,8,28.68,23.77,2.96,6.19,77,1.3335
2017,3,8,28.42,23.42,0.99,13.35,74,0.57055
2017,4,8,27.23,23.07,1.5,13.47,83,4.003825
2018,1,8,26.64,22.61,1.81,18.11,83,2.47625
2018,2,8,29.06,23.87,2.26,8.06,77,1.431975
2018,3,8,27.9,23.13,1.73,11.65,76,0.527875
2018,4,8,27.23,23.43,3.84,14.17,80,4.256325
2019,1,8,25.93,21.57,0.73,13.68,87,2.334275
2019,2,8,29,24.13,3.05,8.94,78,1.42685
2019,3,8,28.29,23.58,2.42,7.74,81,0.50735
2019,4,8,27.43,23.47,3.07,11.5,83,4.202075
2020,1,8,26.39,21.25,0.56,15.64,80,2.328275
2020,2,8,29.58,23.45,0.77,6.74,73,1.3022
2020,3,8,29.23,23.29,0.71,11.84,73,0.429425
2020,4,8,28.2,23.03,1.53,14.73,77,4.34495
2021,1,8,27.31,22.07,0.72,15.83,81,1.88655
2021,2,8,29.61,23.77,1.62,9.87,71,0.63255
2021,3,8,29.61,23.1,0.37,16.16,75,0.3469
2021,4,8,27.57,23.17,1.43,12.73,76,2.93355
2022,1,8,26.21,21.68,0.57,18.11,81,2.33705
2022,2,8,29.61,24.16,1.48,8.68,71,1.39745
2022,3,8,29.13,23.71,2.2,8.42,79,0.422625
2022,4,8,28,23.97,1.36,11.13,82,3.9731
2023,1,8,27.25,22.71,4.78,13.5,80,2.507775
2023,2,8,29.55,23.97,1.98,7.52,76,1.4415
2023,3,8,28.71,22.97,1.52,14.13,77,0.40735
2023,4,8,27.67,23.37,2.65,12.63,75,3.37985
2024,1,8,26.82,21.61,1.32,14.5,78,1.950325
2024,2,8,31.29,24.23,3.22,6.74,72,0.9831
2024,3,8,28.55,23.16,2.06,16,77,0.325625
2024,4,8,28.13,23.17,4.79,10.2,77,2.318125
2025,1,8,26.83,21.72,2.44,19.03,78,1.6218
2025,2,8,30.03,24.06,2.8,8.58,70,0.957375
2025,3,8,28.61,23.71,7.79,7.79,84,0.4002
2025,4,8,27.97,23.5,5.39,11.9,11.9,3.533725
2015,1,9,26.79,22.79,0.64,21.79,79,3.09478048780488
2015,2,9,28.94,24.58,0.97,17.48,80,3.20346341463415
2015,3,9,28.84,23.61,3,11.39,74,1.85001219512195
2015,4,9,28.1,23.97,2.72,13.53,78,3.60960975609756
2016,1,9,26.54,23.14,0,17.5,89,2.9794756097561
2016,2,9,28,23.87,4.9,14.32,82,3.21812195121951
2016,3,9,28.52,23.55,4.83,17.42,75,2.02876829268293
2016,4,9,27.93,23.73,3.8,15.17,81,3.72056097560976
2017,1,9,27,23,5.48,22.24,77,3.05978048780488
2017,2,9,28.74,23.81,4.95,9.66,77,3.21812195121951
2017,3,9,28.84,23.87,2.81,17.16,73,2.07123170731707
2017,4,9,27.8,23.8,2.25,19.37,83,3.78467073170732
2018,1,9,26.96,23.14,3.93,24.11,82,2.8310243902439
2018,2,9,29.03,24.13,1.58,12.65,79,3.65346341463415
2018,3,9,28.35,23.52,4.8,15.13,72,2.02621951219512
2018,4,9,28,23.73,5.62,19.93,76,3.55995121951219
2019,1,9,26.5,22.14,1.64,19.21,84,2.67512195121951
2019,2,9,29,24.32,2.45,14.26,77,3.70430487804878
2019,3,9,28.65,23.65,5.22,10.1,78,2.04875609756098
2019,4,9,27.97,23.67,4.91,14.43,80,3.55469512195122
2020,1,9,26.32,21.57,0.85,18.25,81,2.76501219512195
2020,2,9,28.9,23.97,2.71,14.06,75,3.6770243902439
2020,3,9,28.9,23.68,8.75,13.29,72,1.43568292682927
2020,4,9,28,23.37,1.17,17.17,79,3.77726829268293
2021,1,9,27,22.52,1.21,19.45,83,3.48193902439024
2021,2,9,29.19,24.26,3.31,13,76,3.17289024390244
2021,3,9,29.48,23.87,3.97,16.94,76,1.47170731707317
2021,4,9,27.6,23.43,4.28,13.8,77,3.51790243902439
2022,1,9,26.21,22.25,1.24,20.04,82,3.48312195121951
2022,2,9,29.35,23.9,2.35,12.13,78,2.92195121951219
2022,3,9,28.9,23.94,6.09,10.52,79,1.54792682926829
2022,4,9,28.03,24,2.55,15.97,81,3.57828048780488
2023,1,9,27.11,23.07,6.05,16.14,79,3.41131707317073
2023,2,9,30,24.32,4.91,9.65,80,3.15226829268293
2023,3,9,28.61,23.42,4,15.71,78,1.43648780487805
2023,4,9,27.9,23.53,3.97,15.73,79,3.54720731707317
2024,1,9,26.61,21.21,0.57,15.96,76,3.59026829268293
2024,2,9,29.03,23.55,1.41,10.71,78,2.83670731707317
2024,3,9,28.48,23.65,8.53,15.58,77,1.27867073170732
2024,4,9,28.2,23.27,8.7,10.33,77,3.27295121951219
2025,1,9,26.69,21.86,2.55,17.83,77,3.08376829268293
2025,2,9,29.29,24.29,5.72,9.87,76,3.55491463414634
2025,3,9,28.52,23.77,15.07,8.48,82,1.34806097560976
2025,4,9,28.17,23.57,8.21,11.27,78,3.31929268292683
2015,1,10,29.79,21.89,0.87,5.86,79,1.75654794520548
2015,2,10,29.35,24.29,7.03,3.65,89,0.843657534246575
2015,3,10,29.23,23.32,2.77,4.48,84,2.2891095890411
2015,4,10,29.93,23.77,2.92,4.07,87,2.68116438356164
2016,1,10,28.21,22.64,2.26,6.71,95,2.25661643835616
2016,2,10,29.35,23.65,3.74,4.74,88,1.19916438356164
2016,3,10,28.9,22.74,3.29,6.06,83,3.03495890410959
2016,4,10,30.04,23.27,2.83,4.8,85,2.03258904109589
2017,1,10,29.9,22.76,3.96,5.66,77,2.52784931506849
2017,2,10,30,23.48,3.9,4.26,80,1.05023287671233
2017,3,10,29.42,22.77,1.8,6.35,83,3.00047945205479
2017,4,10,30.17,23.67,2.54,5.07,85,1.89830136986301
2018,1,10,30.11,22.79,2.56,6.79,78,2.61228767123288
2018,2,10,30.68,23.97,3.88,3.84,81,1.04891780821918
2018,3,10,29.19,22.39,1.54,6,76,3.01132876712329
2018,4,10,29.5,23.3,2.21,5.37,81,2.08243835616438
2019,1,10,28.75,22.04,1.12,8.04,83,2.81253424657534
2019,2,10,29.9,24.16,5.12,3.68,82,0.934561643835616
2019,3,10,29.52,22.97,3.27,5.16,80,2.8127397260274
2019,4,10,29.97,23.6,4.42,4.57,84,2.4371095890411
2020,1,10,30.54,21.04,0.72,10.11,74,2.66715068493151
2020,2,10,32.58,22.97,3.53,4.71,69,0.899465753424658
2020,3,10,29.61,22.71,2.84,8.32,80,2.17823287671233
2020,4,10,31.8,22.93,1.84,6.17,77,3.32056164383562
2021,1,10,32,21.62,0.42,8.45,70,1.99845205479452
2021,2,10,32.19,23.48,3.39,4.48,73,0.767849315068493
2021,3,10,30.35,23.06,2.19,6.87,79,2.4826301369863
2021,4,10,30.97,22.73,1.47,6.23,79,2.71149315068493
2022,1,10,30.21,21.54,1.24,10.61,77,2.94016438356164
2022,2,10,32.16,23.68,4.05,4.52,73,1.11982191780822
2022,3,10,30.68,23.1,4.68,5.32,82,2.87141095890411
2022,4,10,31.3,23.07,1.66,5.9,77,2.66572602739726
2023,1,10,31.36,22.14,1.09,8.18,71,2.98223287671233
2023,2,10,33.1,23.06,3.73,4.55,69,1.07398630136986
2023,3,10,29.68,23.03,4.58,6.87,81,2.68158904109589
2023,4,10,31.47,22.57,1.54,7.7,73,3.24401369863014
2024,1,10,31.93,20.57,0.27,10.11,75,2.67005479452055
2024,2,10,32.26,23.65,9.95,5.52,80,1.13080821917808
2024,3,10,29,23.13,7.58,7.16,82,2.65190410958904
2024,4,10,30.03,22.83,9.66,5.03,85,4.06006849315068
2025,1,10,31.41,21.41,2.7,8.79,75,2.23197260273973
2025,2,10,31.77,23.77,14.04,3.97,74,1.208
2025,3,10,29.74,23.35,13.9,4.68,89,2.73871232876712
2025,4,10,30.5,23.4,10.01,5,85,2.66250684931507
2015,1,11,27.86,21.75,1.23,15.61,78,0.718325
2015,2,11,28.19,23.61,3.22,11.58,83,0.533725
2015,3,11,28.48,22.77,4.98,8.13,80,0.66209375
